data,gspD,gspE,gspF,gspC,gspG,gspH,gspI,gspK,gspM,gspN
GSM126531,0.947407501352,0.94454602382,1.03329700941,1.12338076048,1.1624841131,1.25062910711,1.04701782231,1.00211564057,0.845037927578,0.979485472467
GSM126532,0.975201330913,0.965731472622,1.06072964932,1.16701006195,1.17291055576,1.29674247701,1.08971661094,1.00505050473,0.922121014375,0.961171648965
GSM126533,1.00467508163,0.988572034445,1.08809008128,1.16118190873,1.1857221639,1.23779208342,1.10896820279,1.00247412531,0.982200866231,0.930412896931
GSM126534,1.00147124639,1.03214166556,1.06615633347,1.04364712904,1.18483568695,1.05443341851,1.0603201987,1.00542397739,0.926384487234,0.928553538165
GSM126535,1.01815414714,1.11396198485,1.04098263303,0.993805202895,1.15837711034,1.00426220858,1.05976618519,1.027834512,0.953613126652,0.92985263622
GSM126536,1.09409574895,1.16324904284,1.08564919388,1.03603087661,1.1165663629,1.07975874423,1.11825406288,1.04076258227,1.13917942912,0.916565571118
GSM126537,1.16014730714,1.149262215,1.14570927098,1.0929845441,1.09036336869,1.16061139613,1.14079692647,1.03156233308,1.33466252819,0.934370738857
GSM126538,1.128128181,1.07812092216,1.11832692603,1.13236730514,1.07142361528,1.19234439343,1.10454331843,1.01331589811,1.36281903184,0.97411499588
GSM126539,1.0412149994,1.04394666006,1.07877575266,1.08879926647,1.10936568062,1.12091353822,1.06965162384,1.00490630895,1.25081809906,1.00805265564
GSM126540,0.960660117865,1.09199253966,1.03731351749,1.02263903423,1.17415917435,1.01906635958,1.011738184,1.0100705053,1.10928186784,1.0157377743
GSM126541,0.937289742909,1.10419502031,0.981387635417,0.993099379054,1.17507512969,0.985507666845,0.976753212167,1.00664360651,1.05846752024,1.02188227393
GSM126542,0.960836591968,1.04182647169,0.960186794644,0.94869549403,1.14228290348,0.965978510617,0.99097461044,0.994007746394,1.06027389736,1.04665429098
GSM126543,0.994745243073,0.98017686466,0.938199085698,0.951593287368,1.0788415567,0.979292676008,1.00410768594,0.978114320414,1.12188049087,1.04882210699
GSM126544,1.03348754333,0.953112885258,0.920968041911,1.00031404497,1.00946857505,1.03568264603,1.01473850696,0.97222086399,1.20482783005,1.03024752658
GSM126545,1.0548632621,0.943410131827,0.930904450498,1.01031838085,0.952218788161,1.05413380129,0.996966546154,0.992069432544,1.14302661767,1.00875302514
GSM126546,1.05346618053,0.976092650705,0.963749425409,0.986035162603,0.947475143129,1.04835112449,0.991059788616,1.01114086688,1.02609691491,0.997487729928
GSM126547,1.03047892523,1.06472141662,1.03625208176,0.94977586429,1.01492069436,1.02392638729,1.02276379757,1.00493486782,0.927305103473,0.991511217744
GSM126548,1.00351556934,1.11552357252,1.09056064571,0.944885224188,1.06857857757,0.993735631149,1.02363260053,0.990062838557,0.90634109151,0.992162957369
GSM126549,1.00199756321,1.12860527677,1.08734819504,0.945890443419,1.10971099456,0.981595812792,1.02951510694,0.99191059808,0.997437949952,1.02290559257
GSM126550,1.01962383239,1.16812041399,1.05462711885,0.95500354924,1.13078997645,1.01234076588,1.04678198421,0.99486798251,1.10321960507,1.04350535207
GSM126551,1.02323037717,1.15056381214,1.00003743065,1.02494464851,1.06218495495,1.07292110913,1.00009704531,0.981876854239,1.13236024109,1.02016746754
GSM126552,0.990912105307,1.0732781408,0.943536347229,1.0637491654,0.971555286474,1.04358130162,0.902316829845,0.98398348026,1.0406276889,0.979910573362
GSM126553,0.971774849724,1.03535032069,0.941967376218,1.06067744844,0.951011703076,1.00344809997,0.87301539495,0.984335478619,0.986245693063,0.964975353504
GSM126554,1.02417553342,1.02648105433,1.02548685569,1.09562796863,0.973502777354,1.05940410211,0.982815829882,0.938996704681,1.13199218642,0.960399794512
GSM126555,1.08362080652,1.01123618961,1.09764839802,1.13559310928,0.980249563887,1.11747224562,1.10793174057,0.896410218593,1.33777269117,0.952156747572
GSM126556,1.01954255945,0.972713603975,1.03817453072,1.05140973646,0.97974757358,1.00091190407,1.03892103222,0.922520579406,1.18152814833,0.987365403371
GSM126557,0.934947330924,0.929980905488,0.952668373172,0.954576020085,0.979128421647,0.88521512089,0.953484241484,0.971033517755,0.982617610191,1.04392495203
GSM126558,0.922692605487,0.862590660007,0.926425583876,0.935161213899,0.955919476122,0.872962145296,0.958780850643,0.991342852555,0.945938962119,1.07991442926
GSM126559,0.92291264097,0.838363608986,0.922270591251,0.935102229163,0.931336870943,0.866014448471,0.948199804026,1.01085004789,0.909424641146,1.07405286152
GSM126560,0.925492369163,0.909381146993,0.940591369655,0.974204802293,0.929376454412,0.893383181272,0.929351331159,1.02115297004,0.886414877036,1.02441621928
GSM126561,0.938866541119,0.988556274374,0.988777623595,1.00203159584,0.958508413097,0.923934189932,0.940058210785,1.02203032245,0.871742529003,0.994124193144
GSM126562,0.946649980824,1.03075895851,0.992687134584,0.988781735814,0.997240237357,0.940647440597,0.972158867889,1.0604319182,0.867433460435,1.03114627273
GSM126563,0.959085274881,1.01306307392,0.946461679405,0.997218118106,0.963457544791,0.97549000772,0.997933094663,1.0760790024,0.929785608064,1.06285073398
GSM126564,0.971195740969,0.973035941076,0.911018969711,1.00714471726,0.896729024854,0.992242735512,1.00113879561,1.04589135846,0.988195916984,1.03620252196
GSM126565,0.96858462006,0.988851646156,0.897037995972,1.01707918146,0.88384972262,1.00958823261,0.993761806086,1.03501666714,1.00024124431,1.00812322973
GSM126566,0.98452653818,0.975416309265,0.942040506324,1.02064984162,0.892089894067,1.01371492683,1.00152469868,0.990954003916,1.0078668109,0.98787472051
GSM126567,0.991074901638,0.92647503069,0.989291097821,0.983326208136,0.887905473245,0.959143777944,0.987422209338,0.9433231642,0.964371552926,0.973435976356
GSM126568,0.980300524503,0.917996781076,0.974110269456,0.948706015458,0.87267416937,0.908529963042,0.949009214224,0.940491623801,0.917404570473,0.962989518172
GSM126569,0.979684418454,0.931447912769,0.954929412819,0.946761535916,0.860687845161,0.895970414814,0.925638643275,0.966539769312,0.890668205698,0.955008182957
GSM126570,1.00489795041,0.967405737988,1.01688109981,0.964456449994,0.911511017852,0.93393626243,0.964703161832,0.981708764091,0.89234469048,0.977931283703
GSM126571,1.02730957737,0.9856422471,1.08207612681,0.965534021566,0.963241196092,0.967106716877,1.008031694,0.979143352723,0.888429990808,1.00719218915
GSM126572,1.02356306914,0.946435438279,1.0098401896,0.926257998073,0.935522333434,0.975482570008,0.995826284176,1.00627177329,0.848773194698,1.06163291058
GSM126573,1.0225922519,0.883203013665,0.895412894993,0.90253701101,0.879628955185,0.996232926892,0.974725572532,1.04944095635,0.8595658073,1.14005782394
GSM126574,1.02160819286,0.910392135521,0.934004237208,0.901696608243,0.893983432238,0.949998407407,0.98162779166,1.04426726793,0.876967327865,1.10247428073
GSM126575,1.00409724607,0.982865561369,1.03641011435,0.901685983162,0.928526506339,0.85694291028,0.974498587862,1.0225008199,0.862028217405,0.996024406832
GSM126576,0.988448701474,0.978385548886,1.01306518053,0.922740573867,0.898262492734,0.827781550834,0.929547181678,1.03093330336,0.903842311203,0.947851529731
GSM126577,0.984199030205,0.954928750913,0.975804471934,0.937831082402,0.873910232659,0.833899830414,0.90634737381,1.03966230536,0.947147486674,0.944853787373
